2023-11-22/14:45:55		Error While Creating table: near "w": syntax error
2023-11-22/14:51:07		Error While Creating table: no such column: w
2023-11-22/14:52:25		Error While Creating table: no such column: w
2023-11-22/14:54:25		Error While Creating table: near ")": syntax error
2023-11-22/15:08:44		Error While Creating table: table Good_Raw_Data has 1 columns but 3502 values were supplied
2023-11-22/15:13:19		Error While Creating table: table Good_Raw_Data has 1 columns but 3502 values were supplied
2023-11-22/15:15:33		Error While Creating table: table Good_Raw_Data has 1 columns but 3502 values were supplied
2023-11-22/16:10:57		Error While Creating table: table Good_RawData has 592 columns but 3502 values were supplied
2023-11-22/16:16:08		Error While Creating table: table Good_RawData has 592 columns but 3502 values were supplied
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:01		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
2023-11-22/17:50:02		<_io.TextIOWrapper name='Training_raw_files_validated/Good_Raw/wafer_13012020_090817.csv' mode='r' encoding='cp1252'> loaded succesfully
