2023-11-22/14:32:25		Data Transformation failed Because :: NDFrame.to_csv() got an unexpected keyword argument 'inplace'
2023-11-22/14:35:11		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/14:35:11		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/14:35:11		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/14:35:11		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/14:35:11		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/14:35:12		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/14:35:12		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/14:35:12		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/14:35:12		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/14:43:12		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/14:43:12		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/14:43:12		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/14:43:12		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/14:43:12		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/14:43:13		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/14:43:13		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/14:43:13		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/14:43:13		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/14:45:54		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/14:45:54		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/14:45:54		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/14:45:54		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/14:45:54		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/14:45:55		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/14:45:55		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/14:45:55		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/14:45:55		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/14:51:05		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/14:51:06		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/14:51:06		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/14:51:06		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/14:51:06		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/14:51:06		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/14:51:07		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/14:51:07		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/14:51:07		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/14:52:24		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/14:52:24		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/14:52:24		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/14:52:24		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/14:52:24		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/14:52:25		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/14:52:25		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/14:52:25		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/14:52:25		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/14:54:23		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/14:54:23		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/14:54:23		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/14:54:24		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/14:54:24		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/14:54:24		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/14:54:24		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/14:54:24		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/14:54:25		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/15:08:43		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/15:08:43		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/15:08:43		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/15:08:43		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/15:08:43		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/15:08:44		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/15:08:44		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/15:08:44		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/15:08:44		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/15:13:17		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/15:13:18		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/15:13:18		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/15:13:18		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/15:13:18		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/15:13:18		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/15:13:18		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/15:13:19		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/15:13:19		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/15:15:31		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/15:15:31		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/15:15:32		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/15:15:32		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/15:15:32		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/15:15:32		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/15:15:32		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/15:15:32		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/15:15:33		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/16:10:53		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/16:10:53		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/16:10:53		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/16:10:53		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/16:10:53		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/16:10:54		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/16:10:54		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/16:10:54		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/16:10:54		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/16:16:04		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/16:16:04		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/16:16:04		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/16:16:04		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/16:16:04		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/16:16:05		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/16:16:05		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/16:16:05		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/16:16:05		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/17:50:00		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/17:50:00		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/17:50:00		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/17:50:00		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/17:50:00		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/17:50:01		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/17:50:01		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/17:50:01		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/17:50:01		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:16:22		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:16:22		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:16:22		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:16:22		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:16:23		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:16:23		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:16:23		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:16:23		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:16:23		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:18:13		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:18:13		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:18:13		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:18:13		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:18:13		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:18:14		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:18:14		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:18:14		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:18:14		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:23:58		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:23:58		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:23:58		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:23:58		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:23:58		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:23:58		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:23:59		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:23:59		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:23:59		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:31:10		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:31:10		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:31:10		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:31:11		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:31:11		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:31:11		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:31:11		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:31:11		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:31:11		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:36:15		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:36:15		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:36:15		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:36:15		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:36:15		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:36:15		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:36:16		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:36:16		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:36:16		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:42:12		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:42:12		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:42:12		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:42:12		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:42:12		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:42:12		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:42:13		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:42:13		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:42:13		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:44:48		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:44:48		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:44:48		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:44:49		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:44:49		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:44:49		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:44:49		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:44:49		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:44:50		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:54:04		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:54:04		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:54:04		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:54:04		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:54:04		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:54:05		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:54:05		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:54:05		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:54:05		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-22/18:56:56		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-22/18:56:56		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-22/18:56:56		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-22/18:56:56		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-22/18:56:56		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-22/18:56:57		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-22/18:56:57		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-22/18:56:57		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-22/18:56:57		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-26/21:37:56		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-26/21:37:56		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-26/21:37:56		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-26/21:37:56		File Transformed Successfully!! wafer_21012020_080913.csv
2023-11-26/21:37:57		File Transformed Successfully!! wafer_23012020_041211.csv
2023-11-26/21:37:57		File Transformed Successfully!! wafer_27012020_080911.csv
2023-11-26/21:37:57		File Transformed Successfully!! wafer_28012020_090817.csv
2023-11-26/21:37:57		File Transformed Successfully!! wafer_28042020_031911.csv
2023-11-26/21:37:57		File Transformed Successfully!! wafer_29012020_050617.csv
2023-11-27/10:02:14		File Transformed Successfully!! wafer_13012020_090817.csv
2023-11-27/10:02:14		File Transformed Successfully!! wafer_16012020_051629.csv
2023-11-27/10:02:14		File Transformed Successfully!! wafer_20022020_090716.csv
2023-11-27/10:02:14		File Transformed Successfully!! wafer_21012020_080913.csv
